bieming,daoyan,movie_name,ranking,score,score_num,url
一生所爱。,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...",大话西游之大圣娶亲,15,9.2,490495,https://movie.douban.com/subject/1292213/
人人心中都有个龙猫，童年就永远不会消失。,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...",龙猫,16,9.1,420282,https://movie.douban.com/subject/1291560/
千万不要记恨你的对手，这样会让你失去理智。,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...",教父,17,9.2,345074,https://movie.douban.com/subject/1291841/
如果再也不能见到你，祝你早安，午安，晚安。,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...",楚门的世界,18,9.1,456905,https://movie.douban.com/subject/1292064/
Tomorrow is another day.,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 托...",乱世佳人,19,9.2,272307,https://movie.douban.com/subject/1300267/
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...",天堂电影院,20,9.1,310664,https://movie.douban.com/subject/1291828/
满满温情的高雅喜剧。,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...",触不可及,21,9.1,367431,https://movie.douban.com/subject/6786002/
平民励志片。 ,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...",当幸福来敲门,22,8.9,540658,https://movie.douban.com/subject/1849031/
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...",熔炉,23,9.2,253580,https://movie.douban.com/subject/5912992/
香港电影史上永不过时的杰作。,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生",无间道,24,9.0,400697,https://movie.douban.com/subject/1307914/
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...",搏击俱乐部,25,9.0,405319,https://movie.douban.com/subject/1292000/
1957年的理想主义。 ,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...",十二怒汉,26,9.4,171837,https://movie.douban.com/subject/1293182/
真正的幸福是来自内心深处。,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...",怦然心动,27,8.9,548175,https://movie.douban.com/subject/3319755/
史诗的终章。,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...",指环王3：王者无敌,28,9.1,285440,https://movie.douban.com/subject/1291552/
爱是一种力量，让我们超越时空感知它的存在。,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...",星际穿越,29,9.1,485587,https://movie.douban.com/subject/1889243/
瑰丽壮观、无人能及的冒险之旅。,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...",少年派的奇幻漂流,30,9.0,579934,https://movie.douban.com/subject/1929463/
对天空的追逐，永不停止。 ,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...",天空之城,31,9.0,333085,https://movie.douban.com/subject/1291583/
对敌人的仁慈，就是对自己残忍。,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...",鬼子来了,32,9.2,228591,https://movie.douban.com/subject/1291858/
爱情哪怕只有一天。,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...",罗马假日,33,8.9,386238,https://movie.douban.com/subject/1293839/
无尽的黑暗。,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",蝙蝠侠：黑暗骑士,34,9.0,320545,https://movie.douban.com/subject/1851857/
旷古烁今。,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...",大话西游之月光宝盒,35,8.9,396557,https://movie.douban.com/subject/1299398/
张艺谋最好的电影。,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang",活着,36,9.1,266500,https://movie.douban.com/subject/1292365/
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran",两杆大烟枪,37,9.0,273478,https://movie.douban.com/subject/1293350/
最后那些最无聊的事情，才是最值得怀念的。 ,"
                            导演: 彼特·道格特 Pete Docter   主演: 爱德华·阿斯纳 Edward Asner / 克...",飞屋环游记,38,8.9,497784,https://movie.douban.com/subject/2129039/
别样人生。,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...",窃听风暴,39,9.1,222260,https://movie.douban.com/subject/1900841/
自由万岁。,"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...",飞越疯人院,40,9.0,277324,https://movie.douban.com/subject/1292224/
海豚的微笑，是世界上最高明的伪装。,"
                            导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...",海豚湾,41,9.3,181497,https://movie.douban.com/subject/3442220/
史上最美的探戈。,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...",闻香识女人,42,8.9,320594,https://movie.douban.com/subject/1298624/
一张面具背后的理想与革命。,"
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...",V字仇杀队,43,8.8,414009,https://movie.douban.com/subject/1309046/
